"ID","Threat Name","IP Address Exemptions","Rule","CVE","Host","Category","Severity","Action","Packet Capture"
"33219","Microsoft Internet Explorer toStaticHTML Information Disclosure Vulnerability","","Alert-All","CVE-2010-1257","client","code-execution","high","default (reset-both)","disable"
"33220","Microsoft Internet Explorer Uninitialized Memory Corruption Vulnerability","","Alert-All","CVE-2010-1259,CVE-2010-1262","client","code-execution","critical","default (reset-both)","disable"
"33222","Microsoft Windows Remote Code Execution Vulnerability","","Alert-All","CVE-2010-0252","client","code-execution","high","default (reset-both)","disable"
"33223","Microsoft Sharepoint Server Help Page Denial of Service Vulnerability","","Alert-All","CVE-2010-1264","server","dos","medium","default (alert)","disable"
"33224","BaoFeng Storm Activex OnBeforeVideoDownload Buffer Overflow Vulnerability","","Alert-All","CVE-2009-1612","client","overflow","high","default (reset-both)","disable"
"33225","Cisco Webex Meeting Manager Activex Control Stack Overflow Vulnerability","","Alert-All","CVE-2008-3558","client","overflow","high","default (reset-both)","disable"
"33226","IPS and AntiVirus Script Evasion Technique Detected","","Alert-All","","client","code-execution","high","default (reset-client)","disable"
"33227","CommuniCrypt Mail Activex Control Buffer Overflow Vulnerability","","Alert-All","","client","overflow","medium","default (alert)","disable"
"33228","Microsoft Internet Explorer Tabular Data Control ActiveX Memory Corruption Vulnerability","","Alert-All","CVE-2010-0805","client","code-execution","critical","default (reset-both)","disable"
"33229","Novell iPrint Client Target Frame Parameter Buffer Overflow","","Alert-All","CVE-2009-1568","client","overflow","medium","default (alert)","disable"
"33230","Ultra Office ActiveX Control Buffer Overflow Vulnerability","","Alert-All","CVE-2008-3878","client","overflow","high","default (reset-both)","disable"
"33231","Microsoft Windows Help Centre Malformed Escape Sequences Vulnerability","","Alert-All","CVE-2010-1885","client","code-execution","critical","default (reset-client)","disable"
"33232","Adobe Flash Player Memory Corruption Vulnerability","","Alert-All","CVE-2010-2175,CVE-2010-2176,CVE-2010-2177,CVE-2010-2178","client","code-execution","critical","default (reset-both)","disable"
"33233","Adobe Flash Player IJG Decompression Object Destroy Vulnerability","","Alert-All","CVE-2010-2180","client","overflow","critical","default (reset-both)","disable"
"33234","Adobe Flash Player DefineMorphShape Parsing Memory Corruption Vulnerability","","Alert-All","CVE-2010-2181","client","dos","medium","default (alert)","disable"
"33235","Adobe Flash Player Remote Memory Corruption Vulnerability","","Alert-All","CVE-2009-3793","client","code-execution","high","default (reset-both)","disable"
"33236","Adobe Flash Player AVM2 Getouterscope Opcode Code Execution Vulnerability","","Alert-All","CVE-2010-2160","client","code-execution","high","default (reset-both)","disable"
